Matrix Length, Average Time
1000,23735
1050,18998
1100,3023
1150,3581
1200,3938
1250,4244
1300,4736
1350,5245
1400,6008
1450,6604
1500,7792
1550,8187
1600,8634
1650,10923
1700,9693
1750,10386
1800,11377
1850,11918
1900,15523
1950,13779
2000,14367
2050,14205
2100,15078
2150,15868
2200,16242
2250,16726
2300,18474
2350,19557
2400,18649
2450,20666
2500,20961
2550,20438
2600,23490
2650,21556
2700,23880
2750,26310
2800,23611
2850,25060
2900,25235
2950,27582
3000,26292
3050,27360
3100,30671
3150,29637
3200,30000
3250,30256
3300,33128
3350,31985
3400,33693
3450,34051
3500,38743
3550,34917
3600,35593
3650,38779
3700,36810
3750,40948
3800,40340
3850,42544
3900,43641
3950,41144
4000,44433
4050,44889
4100,45192
4150,47794
4200,46769
4250,46810
4300,47746
4350,49679
4400,50786
4450,53867
4500,53175
4550,50939
4600,55484
4650,52178
4700,54198
4750,56743
4800,57995
4850,56242
4900,60302
4950,62865
5000,68134
5050,63799
5100,63277
5150,76996
5200,76224
5250,94841
5300,74889
5350,84822
5400,73285
5450,92663
5500,71794
5550,76964
5600,74110
5650,79958
5700,80695
5750,81246
5800,88423
5850,86962
5900,94380
5950,101759
6000,92822
6050,114840
6100,116145
6150,134657
6200,104997
6250,99887
6300,93692
6350,106210
6400,118613
6450,123839
6500,110732
6550,200022
6600,117756
6650,111273
6700,125342
6750,127355
6800,116764
6850,128650
6900,141084
6950,133291
7000,116475
7050,147283
7100,136850
7150,161519
7200,114417
7250,134702
7300,171440
7350,235133
7400,227314
7450,191545
7500,195847
7550,183271
7600,158753
7650,130088
7700,183088
7750,191722
7800,139137
7850,158132
7900,165558
7950,159703
8000,183168
8050,198815
8100,206040
8150,225228
8200,219461
8250,212326
8300,238008
8350,184196
8400,174771
8450,255872
8500,156749
8550,187866
8600,174234
8650,182838
8700,205648
8750,169665
8800,203016
8850,324727
8900,268421
8950,310586
9000,167521
9050,227529
9100,178729
9150,231176
9200,204619
9250,202725
9300,268794
9350,189015
9400,334255
9450,295814
9500,424631
9550,272462
9600,318412
9650,270999
9700,391788
9750,285633
9800,264069
9850,303108
9900,408831
9950,380265
10000,267496
