Matrix Length,Average Overall Time,Average Time - Trial 1,Average Time -Trial 2,Average Time - Trial 3
1000,22615.33333,27460,23735,16651
1050,16835,20091,18998,11416
1100,3234.333333,3533,3023,3147
1150,3665,3672,3581,3742
1200,4072,4378,3938,3900
1250,4309.333333,4350,4244,4334
1300,4718,4719,4736,4699
1350,5613.333333,5523,5245,6072
1400,6062.666667,6278,6008,5902
1450,7001,6913,6604,7486
1500,7618.333333,7323,7792,7740
1550,8039.333333,7730,8187,8201
1600,8814.666667,8639,8634,9171
1650,10625.33333,10509,10923,10444
1700,9674,9578,9693,9751
1750,10438.66667,10160,10386,10770
1800,11386.66667,11303,11377,11480
1850,11675.66667,11860,11918,11249
1900,14935.66667,15414,15523,13870
1950,13459.66667,13701,13779,12899
2000,13701.66667,13331,14367,13407
2050,14579.33333,14099,14205,15434
2100,15709.33333,14827,15078,17223
2150,17354.33333,15866,15868,20329
2200,17289.33333,16052,16242,19574
2250,17148.33333,16554,16726,18165
2300,18096,17667,18474,18147
2350,19503,18795,19557,20157
2400,18847.66667,18691,18649,19203
2450,20896.33333,20760,20666,21263
2500,21385.33333,20066,20961,23129
2550,21105,21830,20438,21047
2600,24766.33333,24923,23490,25886
2650,22969.66667,24742,21556,22611
2700,26130.33333,26679,23880,27832
2750,25701,26943,26310,23850
2800,24234.66667,24523,23611,24570
2850,25375.33333,24909,25060,26157
2900,26154.33333,26344,25235,26884
2950,27872,26374,27582,29660
3000,29143,29395,26292,31742
3050,29072,29508,27360,30348
3100,33988.66667,33592,30671,37703
3150,31833.33333,31845,29637,34018
3200,35839.33333,33808,30000,43710
3250,34591.33333,34779,30256,38739
3300,37668,37289,33128,42587
3350,34713,35251,31985,36903
3400,40087,42990,33693,43578
3450,46206,39348,34051,65219
3500,40947.66667,40273,38743,43827
3550,42345.66667,44905,34917,47215
3600,46248.66667,42123,35593,61030
3650,44842.33333,45733,38779,50015
3700,44929.33333,43664,36810,54314
3750,50864.33333,43956,40948,67689
3800,46612.33333,45326,40340,54171
3850,48755.33333,44239,42544,59483
3900,46441.33333,40557,43641,55126
3950,43229.33333,41681,41144,46863
4000,46870.33333,45476,44433,50702
4050,45559,44261,44889,47527
4100,48394.66667,44651,45192,55341
4150,51583.33333,45138,47794,61818
4200,52415,54854,46769,55622
4250,50348,49960,46810,54274
4300,50652.66667,51821,47746,52391
4350,55701.66667,57345,49679,60081
4400,59510.66667,52655,50786,75091
4450,59276.33333,54900,53867,69062
4500,56079.33333,53619,53175,61444
4550,56398.33333,57239,50939,61017
4600,62559,72363,55484,59830
4650,54655.33333,53794,52178,57994
4700,54747,53753,54198,56290
4750,61311.33333,62152,56743,65039
4800,71265.66667,80729,57995,75073
4850,61611.33333,60718,56242,67874
4900,81686.33333,57254,60302,127503
4950,70505,63710,62865,84940
5000,72856.33333,60345,68134,90090
5050,67048.66667,61405,63799,75942
5100,72323.66667,78438,63277,75256
5150,70074.33333,62802,76996,70425
5200,71038.66667,68508,76224,68384
5250,78263.33333,66113,94841,73836
5300,70795.66667,67932,74889,69566
5350,81391.33333,71260,84822,88092
5400,71363.66667,68274,73285,72532
5450,86281.66667,72660,92663,93522
5500,73671.33333,68168,71794,81052
5550,87467.33333,107294,76964,78144
5600,75623,79773,74110,72986
5650,88376,101494,79958,83676
5700,88000.66667,103195,80695,80112
5750,87262.33333,94405,81246,86136
5800,92160.33333,99286,88423,88772
5850,97983,80663,86962,126324
5900,99391.66667,81716,94380,122079
